Cuisine, Degree, Avg Neig Degree
chinese,0.4589,1
chinese,0.50758,0.9285
chinese,0.47955,1
chinese,0.50053,0.70197
chinese,0.48905,0.9529
chinese,0.50593,0.81599
chinese,0.50484,0.86336
chinese,0.46947,0.71429
chinese,0.51652,0.94204
chinese,0.43832,0
chinese,0.48803,0.98246
chinese,0.48201,0.9
chinese,0.46994,1
chinese,0.47518,0.91111
chinese,0.49894,0.96349
chinese,0.53114,0.70775
chinese,0.54918,0.6558
chinese,0.44795,1
chinese,0.51881,0.70538
chinese,0.484,0.47333
chinese,0.50214,0.93939
chinese,0.469,1
chinese,0.54032,0.7549
chinese,0.46161,0.85714
chinese,0.52169,0.81955
chinese,0.39611,1
chinese,0.3282,0
chinese,0.36987,0.5
chinese,0.4501,1
chinese,0.5422,0.74286
chinese,0.48103,1
chinese,0.53846,0.74896
chinese,0.36357,1
chinese,0.4776,0.55657
chinese,0.57617,0.51003
chinese,0.45358,1
chinese,0.58406,0.46417
chinese,0.54726,0.48596
chinese,0.53114,0.80561
chinese,0.4845,1
chinese,0.42025,0.66667
chinese,0.49525,1
chinese,0.41213,1
chinese,0.53235,0.80109
chinese,0.47857,0.96364
chinese,0.77907,0.15523
chinese,0.37853,0.9
chinese,0.53539,0.75406
chinese,0.49894,0.75966
chinese,0.48803,0.99605
chinese,0.58045,0.44761
chinese,0.49735,0.93667
chinese,0.48702,0.97101
chinese,0.44413,1
chinese,0.43832,0
chinese,0.58189,0.47288
chinese,0.42988,1
chinese,0.4598,1
chinese,0.46116,1
chinese,0.41068,1
chinese,0.52344,0.81944
chinese,0.43832,0
chinese,0.49473,0.94587
chinese,0.51034,0.87633
chinese,0.5397,0.60812
chinese,0.57195,0.5212
chinese,0.52637,0.79379
chinese,0.3282,0
chinese,0.49473,0.98268
chinese,0.47808,0.94872
chinese,0.46344,0.71111
chinese,0.56917,0.56189
chinese,0.57265,0.48668
chinese,0.48251,0.88333
chinese,0.51538,0.89428
chinese,0.47231,0.97222
chinese,0.51881,0.38854
chinese,0.58045,0.50515
chinese,0.62202,0.37331
chinese,0.469,0.95833
chinese,0.40154,0.83333
chinese,0.48004,0.98485
chinese,0.48103,0.99167
chinese,0.49368,0.99355
chinese,0.49788,0.87385
chinese,0.51823,0.78403
chinese,0.484,0.96732
chinese,0.45712,1
chinese,0.47041,0.84444
chinese,0.51425,0.74286
chinese,0.4514,1
chinese,0.56848,0.53895
chinese,0.49841,0.93103
chinese,0.47326,0.75824
chinese,0.43832,0
chinese,0.48651,0.91209
chinese,0.47183,0.89744
chinese,0.48152,1
chinese,0.32889,0
chinese,0.44413,1
chinese,0.4488,0.80952
chinese,0.51089,0.86489
chinese,0.40051,1
chinese,0.48702,0.88604
chinese,0.52227,0.89597
chinese,0.48201,0.92105
chinese,0.60516,0.39923
chinese,0.51369,0.88462
chinese,0.46436,1
chinese,0.60438,0.40523
chinese,0.54095,0.73968
chinese,0.46436,1
chinese,0.48053,1
chinese,0.41213,0.82143
chinese,0.45846,1
chinese,0.49317,0.9879
chinese,0.48152,0.99415
chinese,0.53295,0.69225
chinese,0.47614,1
chinese,0.54726,0.68651
chinese,0.47518,1
chinese,0.48651,0.97826
chinese,0.42443,0.65833
chinese,0.53723,0.78056
chinese,0.47231,1
chinese,0.45712,1
chinese,0.41652,0.53333
chinese,0.51938,0.5847
chinese,0.43955,0.49265
chinese,0.44752,1
chinese,0.5,0.96552
chinese,0.56506,0.55738
chinese,0.484,0.88333
chinese,0.62367,0.36164
chinese,0.48551,0.98571
chinese,0.47422,0.85455
chinese,0.53908,0.75772
chinese,0.47041,1
chinese,0.45712,1
chinese,0.40571,0.85714
chinese,0.44287,0
chinese,0.33596,0
chinese,0.58772,0.46644
chinese,0.469,1
chinese,0.39116,0.47222
chinese,0.48601,0.98571
chinese,0.49473,0.83908
chinese,0.48601,0.98485
chinese,0.3876,0.33333
chinese,0.47614,0.92727
chinese,0.5016,0.96997
chinese,0.60751,0.39013
chinese,0.39445,1
chinese,0.51938,0.85412
chinese,0.47231,1
chinese,0.49213,1
chinese,0.46436,1
chinese,0.5,0.95503
chinese,0.36929,0.66667
chinese,0.56574,0.55806
chinese,0.44204,1
chinese,0.46161,0.73333
chinese,0.45935,1
chinese,0.39881,0.33333
chinese,0.48351,1
chinese,0.4845,0.70833
chinese,0.49788,0.91304
chinese,0.49473,0.94758
chinese,0.45756,1
chinese,0.48601,0.98947
chinese,0.51201,0.85354
chinese,0.45801,1
chinese,0.48905,0.9954
chinese,0.38889,1
chinese,0.51369,0.54334
chinese,0.46071,1
chinese,0.46436,1
chinese,0.37853,0
chinese,0.46853,0.71111
chinese,0.43832,0
chinese,0.4598,0.76364
chinese,0.3743,0.61905
chinese,0.48956,0.61084
chinese,0.58846,0.43689
chinese,0.44413,1
chinese,0.51652,0.83265
chinese,0.49894,0.93994
chinese,0.48251,0.84795
chinese,0.44923,1
chinese,0.51595,0.80202
chinese,0.48004,0.91111
chinese,0.54032,0.73563
chinese,0.28134,0
chinese,0.54157,0.62791
chinese,0.32345,0
chinese,0.51089,0.90338
mexican,0.47454,1
mexican,0.45597,1
mexican,0.45957,0.95238
mexican,0.47697,1
mexican,0.58032,0.46978
mexican,0.38417,0
mexican,0.476,1
mexican,0.53873,0.74728
mexican,0.54695,0.70899
mexican,0.51606,0.91755
mexican,0.35223,1
mexican,0.43188,1
mexican,0.4731,1
mexican,0.47992,0.84615
mexican,0.47697,0.97794
mexican,0.48091,0.98718
mexican,0.47648,1
mexican,0.38322,0
mexican,0.55018,0.69755
mexican,0.40069,1
mexican,0.58543,0.51876
mexican,0.50763,0.81831
mexican,0.57816,0.51089
mexican,0.56145,0.62703
mexican,0.46139,1
mexican,0.4824,0.97802
mexican,0.44129,1
mexican,0.47454,0.90909
mexican,0.40699,1
mexican,0.58913,0.47796
mexican,0.44508,0.82222
mexican,0.53687,0.7031
mexican,0.51492,0.96463
mexican,0.51778,0.79944
mexican,0.48491,1
mexican,0.40557,1
mexican,0.52775,0.74808
mexican,0.44593,1
mexican,0.4895,0.91228
mexican,0.45642,1
mexican,0.47406,1
mexican,0.40557,1
mexican,0.45821,1
mexican,0.46787,0.93333
mexican,0.49208,0.96443
mexican,0.44004,1
mexican,0.49417,1
mexican,0.49312,0.91532
mexican,0.61478,0.37599
mexican,0.49364,0.70443
mexican,0.47214,1
mexican,0.47071,1
mexican,0.64099,0.29994
mexican,0.49627,0.85042
mexican,0.56968,0.57133
mexican,0.47893,0.98095
mexican,0.54503,0.699
mexican,0.39425,0.33333
mexican,0.54567,0.57201
mexican,0.49733,0.95157
mexican,0.48643,1
mexican,0.72248,0.19912
mexican,0.34959,0
mexican,0.47992,1
mexican,0.49786,0.91077
mexican,0.49522,0.9908
mexican,0.44255,0.91667
mexican,0.44808,0
mexican,0.46368,0.9
mexican,0.52125,0.87338
mexican,0.54186,0.60802
mexican,0.48796,0.98947
mexican,0.50324,0.98925
mexican,0.43188,1
mexican,0.47406,1
mexican,0.35223,1
mexican,0.41385,0
mexican,0.46553,1
mexican,0.52009,0.86734
mexican,0.45155,1
mexican,0.46139,0.5
mexican,0.51153,0.72222
mexican,0.41982,0
mexican,0.50985,0.85624
mexican,0.55742,0.61096
mexican,0.61559,0.40813
mexican,0.57038,0.54984
mexican,0.42557,1
mexican,0.50597,0.87055
mexican,0.57888,0.49529
mexican,0.51835,0.84761
mexican,0.40841,1
mexican,0.49156,0.95238
mexican,0.48592,0.87143
mexican,0.52537,0.8476
mexican,0.49208,1
mexican,0.43715,1
mexican,0.4824,0.95238
mexican,0.41385,1
mexican,0.51778,0.85926
mexican,0.53257,0.77626
mexican,0.73618,0.19082
mexican,0.51435,0.80399
mexican,0.56899,0.5657
mexican,0.47992,0.97778
mexican,0.34802,0
mexican,0.60285,0.41087
mexican,0.4984,0.88923
mexican,0.5541,0.71928
mexican,0.33695,0
mexican,0.36809,1
mexican,0.54631,0.66269
mexican,0.45957,1
mexican,0.49364,0.90119
mexican,0.43029,1
mexican,0.49574,0.94372
mexican,0.43592,1
mexican,0.47648,1
mexican,0.46647,1
